1;"Rs4.19 - 5.69 Lakh*";NA;"Jan 31, 2019";NA;NA
2;"Rs.7.5 Lakh";"Ahmedabad";"4,900 km";"Diesel";"2018 Maruti Dzire AMT VDI"
3;"Rs.13 Lakh";"Bangalore";"39,500 km";"Diesel";"2008 Mercedes-Benz New C-Class C 220 CDI Avantgarde"
4;"Rs.10 Lakh";"Chennai";"42,000 km";"Diesel";"2016 Volkswagen Vento 1.5 TDI Highline AT"
5;"Rs.11.75 Lakh";"New Delhi";"65,966 km";"Diesel";"2015 Toyota Innova 2.5 ZX Diesel 7 Seater"
6;"Rs.35 Lakh";"Hyderabad";"32,000 km";"Diesel";"2014 BMW 5 Series 2013-2017 520d Luxury Line"
7;"Rs.14.5 Lakh";"Jaipur";"35,000 km";"Diesel";"2017 Tata Hexa XT"
8;"Rs.25 Lakh";"Kolkata";"55,502 km";"Diesel";"2013 Jaguar XF 2.2 Litre Luxury"
9;"Rs.8.1 Lakh";"Mumbai";"44,600 km";"Diesel";"2016 Skoda Rapid 1.5 TDI AT Style"
10;"Rs.6.25 Lakh";"Pune";"53,204 km";"Petrol";"2015 Honda Jazz 1.2 V CVT i VTEC"
11;"Rs.8.1 Lakh";"Mumbai";"44,600 km";"Diesel";"2016 Skoda Rapid 1.5 TDI AT Style"
12;"Rs.11.75 Lakh";"New Delhi";"65,966 km";"Diesel";"2015 Toyota Innova 2.5 ZX Diesel 7 Seater"
13;"Rs.4.5 Lakh";"Gurgaon";"80,000 km";"Diesel";"2015 Maruti Swift VDI Optional"
14;"Rs.3.45 Lakh";"Noida";"85,000 km";"Petrol";"2008 Honda Accord 2.4 MT"
15;"Rs.7.5 Lakh";"Ahmedabad";"4,900 km";"Diesel";"2018 Maruti Dzire AMT VDI"
16;"Rs.1.85 Lakh";"Ahmedabad";"48,000 km";"Petrol";"2007 Hyundai Santro Xing XG eRLX Euro III"
17;"Rs.2.8 Lakh";"Ahmedabad";"16,000 km";"Petrol";"2015 Hyundai EON Era Plus"
18;"Rs.4.25 Lakh";"Ahmedabad";"45,000 km";"Petrol";"2015 Honda Amaze S i-VTEC"
19;"Rs.7.5 Lakh";"Ahmedabad";"4,900 km";"Diesel";"2018 Maruti Dzire AMT VDI"
20;"Rs.9.75 Lakh";"Ahmedabad";"77,700 km";"Diesel";"2013 Skoda Superb Elegance 2.0 TDI CR AT"
21;"Rs.31.5 Lakh";"Ahmedabad";"11,000 km";"Diesel";"2018 Ford Endeavour 3.2 Titanium AT 4X4"
22;"Rs.5.3 Lakh";"Gandhinagar";"61,800 km";"Diesel";"2016 Tata Zest Quadrajet 1.3 75PS XMS"
23;"Rs.4.21 Lakh";"Anand";"1,08,000 km";"Petrol";"2014 Skoda Rapid 1.6 MPI Elegance"
24;"Rs.7.25 Lakh";"Himatnagar";"72,500 km";"Diesel";"2014 Ford Ecosport 1.5 DV5 MT Titanium Optional"
25;"Rs.2.3 Lakh";"Mehsana";"60,500 km";"Petrol";"2010 Maruti Ritz LXi"
26;"Rs.2.85 Lakh";"Modasa";"57,802 km";"Diesel";"2007 Mahindra Bolero DI BSII"
27;"Rs.13 Lakh";"Bangalore";"39,500 km";"Diesel";"2008 Mercedes-Benz New C-Class C 220 CDI Avantgarde"
28;"Rs.1.75 Lakh";"Bangalore";"95,140 km";"Petrol";"2004 Maruti Baleno LXI"
29;"Rs.2.2 Lakh";"Bangalore";"78,000 km";"Petrol";"2006 Maruti Baleno LXI"
30;"Rs.4.25 Lakh";"Bangalore";"38,000 km";"Petrol";"2011 Volkswagen Polo Petrol Trendline 1.2L"
31;"Rs.7.8 Lakh";"Bangalore";"23,000 km";"Petrol";"2015 Honda City i VTEC V"
32;"Rs.8.25 Lakh";"Bangalore";"34,000 km";"Diesel";"2016 Maruti SX4 S Cross DDiS 320 Zeta"
33;"Rs.13 Lakh";"Bangalore";"39,500 km";"Diesel";"2008 Mercedes-Benz New C-Class C 220 CDI Avantgarde"
34;"Rs.39 Lakh";"Bangalore";"38,329 km";"Diesel";"2015 Audi Q5 2.0 TDI Premium Plus"
35;"Rs.1.9 Lakh";"Hosur";"99,500 km";"Petrol";"2004 Honda City 1.5 EXI"
36;"Rs.6 Lakh";"Krishnagiri";"30,000 km";"Diesel";"2017 Tata Bolt Quadrajet XT"
37;"Rs.2.5 Lakh";"Chikkaballapur";"54,300 km";"Petrol";"2011 Maruti Wagon R VXI BS IV"
38;"Rs.39 Lakh";"Bangalore";"38,329 km";"Diesel";"2015 Audi Q5 2.0 TDI Premium Plus"
39;"Rs.10 Lakh";"Chennai";"42,000 km";"Diesel";"2016 Volkswagen Vento 1.5 TDI Highline AT"
40;"Rs.90,000";"Chennai";"78,000 km";"Petrol";"2003 Hyundai Santro LP zipPlus"
41;"Rs.2.69 Lakh";"Chennai";"67,000 km";"Diesel";"2012 Ford Figo Diesel ZXI"
42;"Rs.3.75 Lakh";"Chennai";"65,000 km";"Petrol";"2014 Honda Amaze EX i-Vtech"
43;"Rs.7 Lakh";"Chennai";"45,710 km";"Diesel";"2015 Ford EcoSport 1.5 TDCi Titanium Plus"
44;"Rs.10 Lakh";"Chennai";"42,000 km";"Diesel";"2016 Volkswagen Vento 1.5 TDI Highline AT"
45;"Rs.10 Lakh";"Chennai";"42,000 km";"Diesel";"2016 Volkswagen Vento 1.5 TDI Highline AT"
46;"Rs.6.6 Lakh";"Kanchipuram";"25,000 km";"Petrol";"2016 Honda Jazz 1.2 V CVT i VTEC"
47;"Rs.23 Lakh";"Tiruvallur";"50,000 km";"Diesel";"2016 Mitsubishi Pajero Sport 4X4 DualTone BlackTop"
48;"Rs.5.1 Lakh";"Chengalpattu";"37,000 km";"Petrol";"2015 Skoda Rapid 1.6 MPI Ambition With Alloy Wheel"
49;"Rs.3.4 Lakh";"Srikalahasti";"1,20,000 km";"Diesel";"2014 Tata Indigo CS eVX"
50;"Rs.11.75 Lakh";"New Delhi";"65,966 km";"Diesel";"2015 Toyota Innova 2.5 ZX Diesel 7 Seater"
51;"Rs.1.75 Lakh";"New Delhi";"9,853 km";"Petrol";"2012 Chevrolet Spark 1.0 LT"
52;"Rs.2.8 Lakh";"New Delhi";"9,736 km";"Petrol";"2016 Renault KWID RXL"
53;"Rs.3.5 Lakh";"New Delhi";"25,028 km";"Petrol";"2012 Volkswagen Polo Petrol Comfortline 1.2L"
54;"Rs.5.25 Lakh";"New Delhi";"11,322 km";"Petrol";"2017 Tata Tiago AMT 1.2 Revotron XTA"
55;"Rs.8.5 Lakh";"New Delhi";"72,000 km";"Diesel";"2009 Toyota Fortuner 3.0 Diesel"
56;"Rs.13.75 Lakh";"New Delhi";"24,000 km";"Petrol";"2015 Skoda Superb Elegance 1.8 TSI AT"
57;"Rs.35 Lakh";"Hyderabad";"32,000 km";"Diesel";"2014 BMW 5 Series 2013-2017 520d Luxury Line"
58;"Rs.1.9 Lakh";"Hyderabad";"98,000 km";"Petrol";"2007 Hyundai i10 Magna"
59;"Rs.2.9 Lakh";"Hyderabad";"25,519 km";"Petrol";"2016 Hyundai EON D Lite Plus"
60;"Rs.4.2 Lakh";"Hyderabad";"1,10,000 km";"Diesel";"2011 Volkswagen Vento Diesel Highline"
61;"Rs.5.5 Lakh";"Hyderabad";"1,234 km";"Diesel";"2012 Maruti Ertiga ZDI"
62;"Rs.8.25 Lakh";"Hyderabad";"31,000 km";"Diesel";"2015 Honda City i DTec V"
63;"Rs.35 Lakh";"Hyderabad";"32,000 km";"Diesel";"2014 BMW 5 Series 2013-2017 520d Luxury Line"
64;"Rs.14 Lakh";"Secunderabad";"83,000 km";"Diesel";"2013 Mitsubishi Pajero Sport 4X4"
65;"Rs.6 Lakh";"Jangaon";"40,000 km";"Diesel";"2016 Maruti Swift LDI Optional"
66;"Rs.1.45 Lakh";"Mahbubnagar";"85,000 km";"Petrol";"2011 Chevrolet Spark 1.0 LS"
67;"Rs.50,000";"Nalgonda";"1,00,000 km";"Petrol";"1999 Maruti 800 AC BSII"
68;"Rs.2 Lakh";"Sangareddi";"1,50,000 km";"Diesel";"2012 Chevrolet Beat Diesel LT"
69;"Rs.14.5 Lakh";"Jaipur";"35,000 km";"Diesel";"2017 Tata Hexa XT"
70;"Rs.1.6 Lakh";"Jaipur";"72,000 km";"Petrol";"2004 Honda City 1.5 GXI"
71;"Rs.2.5 Lakh";"Jaipur";"58,000 km";"Petrol";"2015 Maruti Alto 800 LXI"
72;"Rs.3.7 Lakh";"Jaipur";"7,355 km";"Petrol";"2017 Maruti Eeco 5 Seater AC"
73;"Rs.6.25 Lakh";"Jaipur";"21,290 km";"Petrol";"2017 Volkswagen Ameo 1.0 MPI Highline"
74;"Rs.8.25 Lakh";"Jaipur";"42,000 km";"Petrol";"2016 Honda BR-V i-VTEC VX MT"
75;"Rs.14.5 Lakh";"Jaipur";"35,000 km";"Diesel";"2017 Tata Hexa XT"
76;"Rs.3 Lakh";"Dausa";"90,000 km";"Diesel";"2013 Tata New Safari DICOR 2.2 LX 4x2"
77;"Rs.1.1 Lakh";"Tonk";"44,000 km";"Petrol";"2011 Chevrolet Spark 1.0 LT"
78;"Rs.4.2 Lakh";"Kotputli";"1,90,000 km";"Diesel";"2009 Mahindra Scorpio VLX 2WD BSIII"
79;NA;NA;NA;NA;NA
80;"Rs.1.5 Lakh";"Neem-Ka-Thana";"1,00,000 km";"Petrol";"2011 Ford Figo Petrol LXI"
81;"Rs.25 Lakh";"Kolkata";"55,502 km";"Diesel";"2013 Jaguar XF 2.2 Litre Luxury"
82;"Rs.1.99 Lakh";"Kolkata";"17,900 km";"Petrol";"2013 Hyundai EON D Lite Plus"
83;"Rs.2.05 Lakh";"Kolkata";"27,000 km";"Petrol";"2010 Maruti Swift Dzire 1.2 Vxi BSIV"
84;"Rs.3.3 Lakh";"Kolkata";"45,000 km";"Petrol";"2015 Hyundai Grand i10 Magna"
85;"Rs.5.25 Lakh";"Kolkata";"32,555 km";"Diesel";"2014 Hyundai Verna 1.6 CRDI"
86;"Rs.8.5 Lakh";"Kolkata";"6,935 km";"Petrol";"2017 Maruti Ciaz Zeta"
87;"Rs.25 Lakh";"Kolkata";"55,502 km";"Diesel";"2013 Jaguar XF 2.2 Litre Luxury"
88;"Rs.3.6 Lakh";"Howrah";"11,000 km";"Diesel";"2014 Hyundai Xcent 1.1 CRDi S"
89;"Rs.5.14 Lakh";"Hooghly";"1,000 km";"Petrol";"2018 Maruti Ignis 1.2 Delta"
90;"Rs.2.4 Lakh";"Bardhaman";"39,000 km";"Petrol";"2012 Hyundai i10 Era"
91;"Rs.3.8 Lakh";"Barrackpore";"45,000 km";"Petrol";"2016 Maruti Wagon R AMT VXI"
92;"Rs.2.65 Lakh";"Kalyani";"62,000 km";"Diesel";"2010 Maruti Dzire VDI"
93;"Rs.8.1 Lakh";"Mumbai";"44,600 km";"Diesel";"2016 Skoda Rapid 1.5 TDI AT Style"
94;"Rs.1.75 Lakh";"Mumbai";"46,000 km";"Petrol";"2012 Hyundai Santro GLS I - Euro I"
95;"Rs.2.61 Lakh";"Mumbai";"68,000 km";"Diesel";"2010 Maruti Ritz VDi"
96;"Rs.5 Lakh";"Mumbai";"69,000 km";"Diesel";"2012 Hyundai Verna 1.6 SX CRDi (O)"
97;"Rs.5 Lakh";"Mumbai";"69,000 km";"Diesel";"2012 Hyundai Verna 1.6 SX CRDi (O)"
98;"Rs.9.11 Lakh";"Mumbai";"67,000 km";"Diesel";"2010 BMW 3 Series 320d"
99;"Rs.26 Lakh";"Mumbai";"31,000 km";"Diesel";"2014 BMW 5 Series 2013-2017 520d Modern Line"
100;"Rs.10.9 Lakh";"Thane";"2,500 km";"Petrol";"2018 Honda City i-VTEC VX"
101;"Rs.6.5 Lakh";"Navi Mumbai";"27,000 km";"Petrol";"2017 Honda WRV i-VTEC VX"
102;"Rs.3 Lakh";"Kalyan";"68,301 km";"Diesel";"2012 Maruti Ritz VDi"
103;"Rs.7.9 Lakh";"Vasai";"11,900 km";"Diesel";"2016 Maruti Ertiga SHVS VDI"
104;"Rs.4.2 Lakh";"Navi Mumbai";"40,188 km";"Petrol";"2012 Honda City V MT"
105;"Rs.6.25 Lakh";"Pune";"53,204 km";"Petrol";"2015 Honda Jazz 1.2 V CVT i VTEC"
106;"Rs.1.45 Lakh";"Pune";"78,000 km";"Petrol";"2005 Toyota Corolla H2"
107;"Rs.2.31 Lakh";"Pune";"54,300 km";"Petrol";"2008 Maruti SX4 Vxi BSIII"
108;"Rs.4.5 Lakh";"Pune";"69,057 km";"Petrol";"2010 Honda City 1.5 V AT"
109;"Rs.6.25 Lakh";"Pune";"53,204 km";"Petrol";"2015 Honda Jazz 1.2 V CVT i VTEC"
110;"Rs.8 Lakh";"Pune";"30,000 km";"Diesel";"2016 Maruti Ertiga SHVS VDI"
111;"Rs.15 Lakh";"Pune";"14,000 km";"Diesel";"2018 Mahindra XUV500 W7 AT"
112;"Rs.6.25 Lakh";"Pune";"53,204 km";"Petrol";"2015 Honda Jazz 1.2 V CVT i VTEC"
113;"Rs.18.74 Lakh";"Satara";"31,000 km";"Diesel";"2017 Toyota Innova Crysta 2.4 VX MT"
114;"Rs.1.5 Lakh";"Badlapur";"49,564 km";"Petrol";"2011 Maruti Zen Estilo LX BSIV"
115;"Rs.5.99 Lakh";"Raigad";"30,700 km";"Petrol";"2016 Maruti Baleno Zeta 1.2"
116;"Rs.8.1 Lakh";"Mumbai";"44,600 km";"Diesel";"2016 Skoda Rapid 1.5 TDI AT Style"
117;"Rs.1.75 Lakh";"New Delhi";"9,853 km";"Petrol";"2012 Chevrolet Spark 1.0 LT"
118;"Rs.2.61 Lakh";"Mumbai";"68,000 km";"Diesel";"2010 Maruti Ritz VDi"
119;"Rs.5 Lakh";"Mumbai";"69,000 km";"Diesel";"2012 Hyundai Verna 1.6 SX CRDi (O)"
120;"Rs.5.4 Lakh";"Mumbai";"41,000 km";"Petrol";"2012 Skoda Superb Elegance 1.8 TSI AT"
121;"Rs.9.11 Lakh";"Mumbai";"67,000 km";"Diesel";"2010 BMW 3 Series 320d"
122;"Rs.11.75 Lakh";"New Delhi";"65,966 km";"Diesel";"2015 Toyota Innova 2.5 ZX Diesel 7 Seater"
123;"Rs.11.75 Lakh";"New Delhi";"65,966 km";"Diesel";"2015 Toyota Innova 2.5 ZX Diesel 7 Seater"
124;"Rs.1.75 Lakh";"New Delhi";"9,853 km";"Petrol";"2012 Chevrolet Spark 1.0 LT"
125;"Rs.2.3 Lakh";"New Delhi";"23,159 km";"Petrol";"2015 Maruti Alto 800 LXI"
126;"Rs.3.5 Lakh";"New Delhi";"25,028 km";"Petrol";"2012 Volkswagen Polo Petrol Comfortline 1.2L"
127;"Rs.5.25 Lakh";"New Delhi";"11,322 km";"Petrol";"2017 Tata Tiago AMT 1.2 Revotron XTA"
128;"Rs.8.75 Lakh";"New Delhi";"26,133 km";"Petrol";"2016 Honda City i-VTEC VX"
129;"Rs.13.75 Lakh";"New Delhi";"24,000 km";"Petrol";"2015 Skoda Superb Elegance 1.8 TSI AT"
130;"Rs.2.1 Lakh";"Faridabad";"1,15,000 km";"Petrol";"2007 Honda City ZX GXi"
131;"Rs.4.65 Lakh";"Ghaziabad";"21,523 km";"Petrol";"2017 Hyundai Grand i10 1.2 Kappa Magna"
132;"Rs.6.45 Lakh";"Meerut";"12,200 km";"Petrol";"2018 Honda Jazz 1.2 SV i VTEC"
133;"Rs.4.5 Lakh";"Gurgaon";"80,000 km";"Diesel";"2015 Maruti Swift VDI Optional"
134;"Rs.1.99 Lakh";"Gurgaon";"95,000 km";"Petrol";"2005 Toyota Innova 2.0 G (Petrol) 8 Seater BS IV"
135;"Rs.2.95 Lakh";"Gurgaon";"66,440 km";"Petrol";"2013 Maruti Ritz LXi"
136;"Rs.4.5 Lakh";"Gurgaon";"80,000 km";"Diesel";"2015 Maruti Swift VDI Optional"
137;"Rs.6.75 Lakh";"Gurgaon";"69,000 km";"Diesel";"2011 Ford Endeavour 3.0L 4X4 AT"
138;"Rs.9 Lakh";"Gurgaon";"53,000 km";"Diesel";"2009 Audi A4 New  2.0 TDI Multitronic"
139;"Rs.25.5 Lakh";"Gurgaon";"25,000 km";"Petrol";"2016 Mercedes-Benz GLA Class 200"
140;"Rs.3.45 Lakh";"Noida";"85,000 km";"Petrol";"2008 Honda Accord 2.4 MT"
141;"Rs.1.25 Lakh";"Noida";"50,000 km";"Petrol";"2008 Chevrolet Aveo U-VA 1.2 LS"
142;"Rs.2.35 Lakh";"Noida";"27,000 km";"Petrol";"2011 Hyundai EON Magna Plus"
143;"Rs.3.45 Lakh";"Noida";"85,000 km";"Petrol";"2008 Honda Accord 2.4 MT"
144;"Rs.6.95 Lakh";"Noida";"45,379 km";"Diesel";"2015 Ford EcoSport 1.5 Diesel Titanium"
145;"Rs.8.25 Lakh";"Noida";"38,276 km";"Diesel";"2015 Hyundai Verna CRDi 1.6 AT SX Plus"
146;"Rs.10.5 Lakh";"Noida";"21,346 km";"Diesel";"2016 Mahindra XUV500 W6 2WD"
147;"Rs.1.85 Lakh";"Ahmedabad";"48,000 km";"Petrol";"2007 Hyundai Santro Xing XG eRLX Euro III"
148;"Rs.1.6 Lakh";"Anand";"90,000 km";"Petrol";"2007 Hyundai Santro Xing GL Plus"
149;"Rs.90,000";"Gandhinagar";"1,45,000 km";"Petrol";"2007 Maruti Alto Std BSII"
150;"Rs.1.75 Lakh";"Himatnagar";"1,25,000 km";"Petrol";"2009 Hyundai Accent GLE"
151;"Rs.2 Lakh";"Modasa";"68,432 km";"Petrol";"2008 Hyundai Getz 1.3 GLX"
152;"Rs.50,000";"Nadiad";"80,000 km";"Petrol";"1996 Maruti Esteem LX - BSIII"
153;"Rs.2.8 Lakh";"Ahmedabad";"16,000 km";"Petrol";"2015 Hyundai EON Era Plus"
